song_id,song_name,play_count,artist_name,artist_id
1306497271,Hands in the Fire,7,James Carter,12047749
1489064589,秋天不回来,6,刘大壮,31165848
1478419190,我不是你的宋冬野,5,刘大壮,31165848
1468270651,天使的翅膀,4,刘大壮,31165848
2006472464,好想我回来啊,3,华晨宇,861777
1491221473,我很好（吉他版）,3,刘大壮,31165848
555974147,I Wanna Know (Syn Cole Remix),3,NOTD,12262306
468882987,The Ocean,3,J.Fla,805090
1350656778,Here With Me,3,Marshmello,1060019
1380001880,Takeaway,3,The Chainsmokers,893484
416531514,In My Blood,3,The Veronicas,102022
475264037,Don't Hurt,3,Mike Williams,302020
2006472449,黑白艺术家,2,华晨宇,861777
1497799734,三号线（吉他版）,2,刘大壮,31165848
1453972194,忘不了的是你,2,刘大壮,31165848
1488990357,百变酒精,2,法老,865007
1481164987,会不会（吉他版）,2,刘大壮,31165848
544000236,Shadows,2,Aero Chord,845121
32431822,Vision,2,Elektronomia,1081540
482999243,All Time Low (BOXINLION Remix),2,Boxinbox & Lionsize,12031141
540333737,Die Hard,2,Refeci,12608111
29129632,Blame,2,Calvin Harris,29968
471565537,Something Just Like This(Megamix),2,AnDyWuMUSICLAND,11998011
402073804,信仰 (Live),2,张信哲,6454
408532862,Bring Back The Summer (Not Your Dope Remix),2,Not Your Dope,11972030
439037024,L.I.F.E.,2,Remady,42785
529557738,Lullaby,2,R3HAB,197248
65533,红玫瑰,2,陈奕迅,2116
28923579,Fire,2,Gavin DeGraw,33856
1909768201,崩,1,Black Dog,51088327
2006472465,花落时相遇,1,华晨宇,861777
1459534072,忘不了的是你（新版）,1,刘大壮,31165848
1466319796,我有多么爱你（吉他版）,1,刘大壮,31165848
1466319699,我有多么爱你,1,刘大壮,31165848
1424220262,可惜不是你,1,刘大壮,31165848
1459659740,吉他不及她,1,刘大壮,31165848
1489065373,会不会（正式版）,1,刘大壮,31165848
1425175977,我不是你的宋冬野,1,刘大壮,31165848
403012527,Escape,1,Dripice,1050671
402070513,River,1,Bishop Briggs,198937
451126088,Sky High,1,Elektronomia,1081540
1296550963,High On Life ,1,Martin Garrix,780003
33937527,Pneumatic Tokyo,1,EnV,836033
536623742,We Want Your Soul (Mike Williams Remix）,1,Dada Life,91169
1377442158,Your Love,1,Dirty Palm,1155029
500399011,Kuyenda,1,Lennart Schroot,1147209
1417908543,Kissing Other People (R3HAB Remix),1,Lennon Stella,12213160
1372924956,Fire & Gold,1,Morgan Page,39698
1348835834,Ain't Nothing Like It,1,KLYMVX,1149091
1469041281,很久很久,1,杨和苏KeyNG,13899303
1358194683,I Still Believe,1,Mandee,12171036
21792987,Turn All the Lights On,1,T-Pain,44277
1306507078,Can We Kiss Forever?,1,Kina,12826481
1357428560,Real Love,1,Asketa & Natan Chaim,32523005
863515475,Alibi (Far Out Remix),1,Far Out,824107
427542181,Take Me Down (Extended Mix),1,Mike Williams,302020
1375586740,Flowers,1,Dirty Palm,1155029
522041157,Autumn （秋）,1,LJY,1211039
484732439,Meant To Be (RetroVision Remix),1,Arc North,1137410
1301572562,Light It Up,1,Robin Hustin,12475709
864534194,Starflight,1,R3HAB,197248
522510373,Work This Out,1,Frank Pole,12046116
445144239,Survive,1,Vanze,1081008
509728140,Fearless,1,Tule,12676322
543987451,Way Back,1,Vicetone,747030
1459023707,信仰,1,是你的垚,34301293
1397226693,DDU-DU DDU-DU (Remix) -JP Ver.-,1,BLACKPINK,12068017
1456443773,隔岸,1,姚六一,27909602
33340727,Soaring (Original Mix),1,TomLeevis,1050683
445666806,Give Me Your Love,1,DEAMN,12047335
521417643,Blame (Tim Gunter Remix),1,Tim Gunter,12007149
1376715853,Diverse System-Closer (Dj Criswell Remix)（Axele/Music remix）,1,Alexei Shkurko,30003710
496617158,Fly (OutaMatic Remix),1,Odyssey,70663
175072,不再联系,1,夏天Alex,5944
1356146948,Coming Down,1,KIDDO,63446
1294843245,Body (Extended Mix),1,Loud Luxury,12096064
1377466954,Cooler Than Me,1,Lucky Luke,487609
28830412,Higher,1,Tobu,964486
534542079,侧脸,1,于果,12262303
543710904,These Heights (Club Mix),1,Bassjackers,268447
1323821920,Rock To The Rhythm,1,Firebeatz,702005
28563317,阴天快乐,1,陈奕迅,2116
479422643,Link,1,Jim Yosef,1063121
431853775,All I Want,1,Alok,1170012
415792222,Sing Me to Sleep,1,Alan Walker,1045123
536243886,Stranger Things (Alan Walker Remix),1,Kygo,844410
475264147,These Heights (feat. Caroline Pennell),1,Lucas & Steve,1039527
543237932,No One but Me,1,WAO,1164040
441116579,Since You've Been Gone,1,Novaspace,1144030
427614378,Final Song (OutaMatic Remix),1,OutaMatic,1181741
415793214,Into The Fire (Original Mix),1,VINAI,804422
417859039,Lost Control (Original Mix),1,Tyron Hapi,1191114
545165146,Move Up (Lost Gravity),1,Mr. Polska,1161187
490416030,Trouble (Mike Williams Extended Remix),1,Mike Williams,302020
427542254,Kaleidoscope,1,Vicetone,747030
509726712,Hold On,1,Fadi,201988
30780496,Mine (Illenium Remix),1,ILLENIUM,1050518
456370693,By Your Side,1,RAYE,1077053
1381706037,Keep You Mine,1,NOTD,12262306
32807699,Blue Sky,1,Feenixpawl,290025
